CC_4,NAME_4,PENDUDUK,penduduk
3303010014,DESA KARANGTENGAH,3281,3281
3303010014,DESA KARANGTENGAH,3349,3349
3303020007,DESA KARANGNANGKA,3195,3195
3303020007,DESA KARANGNANGKA,3708,3708
3303050011,DESA PENARUBAN,2122,2122
3303050011,DESA PENARUBAN,5140,5140
3303050017,DESA PAGERANDONG,2261,2261
3303050017,DESA PAGERANDONG,4595,4595
3303060001,KELURAHAN BOJONG,5030,5030
3303060001,DESA BOJONG,4426,4426
3303090007,DESA KARANGREJA,7108,7108
3303090007,DESA KARANGREJA,6085,6085
3303140008,DESA KARANGGEDANG,7352,7352
3303140008,DESA KARANGGEDANG,2255,2255
3303150001,DESA KARANGSARI,1912,1912
3303150001,DESA KARANGSARI,4720,4720
,KABUPATEN PURBALINGGA,1064475,1064475
,KECAMATAN KEMANGKON,67417,67417
,DESA PELUMUTAN,3869,3869
,KECAMATAN BUKATEJA,83228,83228
,KECAMATAN KEJOBONG,54937,54937
,KECAMATAN KALIGONDANG,70279,70279
,KECAMATAN PURBALINGGA,59849,59849
,KELURAHAN KEDUNGMENJANGAN,3253,3253
,KELURAHAN KANDANGGAMPANG,2978,2978
,KECAMATAN KALIMANAH,59543,59543
,KECAMATAN KUTASARI,70760,70760
,KECAMATAN MREBET,84003,84003
,KECAMATAN BOBOTSARI,56422,56422
,DESA PALUMBUNGAN,2129,2129
,KECAMATAN KARANGREJA,49739,49739
,KECAMATAN KARANGANYAR,43706,43706
,KECAMATAN KARANGMONCOL,62267,62267
,KECAMATAN REMBANG,72877,72877
,DESA BODASKARANGJATI,4149,4149
,KECAMATAN BOJONGSARI,67327,67327
,KECAMATAN PADAMARA,48075,48075
,KECAMATAN PENGADEGAN,44167,44167
,KECAMATAN KARANGJAMBU,30068,30068
,KECAMATAN KERTANEGARA,39811,39811
,DESA MERGASANA,1751,1751
