CC_4,NAME_4,value_true,value_pred,error
3303010011,SENON,18.698579,28.004117264488563,-9.305538264488565
3303020004,CIPAWON,14.446692,22.847086446599018,-8.400394446599018
3303030001,BANDINGAN,16.223232,24.95028229804574,-8.72705029804574
3303040002,PENGADEGAN,9.308387,29.215970076307187,-19.907583076307187
3303050004,PENOLIH,24.551927,21.143731577873822,3.4081954221261768
3303050008,KALIGONDANG,29.594555,26.754675907853905,2.839879092146095
3303050011,PENARUBAN,13.770311,34.56869770374406,-20.798386703744058
3303050012,KALIKAJAR,41.597338,21.51391324388364,20.08342475611636
3303060004,JATISABA,26.831232,26.744732232757947,0.08649976724205288
3303060007,PENAMBONGAN,20.665427,34.42981605724541,-13.76438905724541
3303060011,PURBALINGGA LOR,46.239211,25.503069219974947,20.73614178002505
3303070007,MEWEK,40.749796,24.583364813053517,16.166431186946486
3303070011,KALIMANAH WETAN,27.662517,29.964898775395426,-2.3023817753954248
3303070015,KEDUNGWULUH,28.074116,28.07357991905064,0.0005360809493595298
3303080004,PADAMARA,33.156499,26.80776098510308,6.348738014896917
3303080006,BOJANEGARA,15.085232,30.1428910930252,-15.0576590930252
3303080010,PRIGI,30.835646,27.15449778005923,3.68114821994077
3303090002,MUNJUL,25.608195,23.74821161458346,1.8599833854165375
3303090004,KUTASARI,18.362101,25.82012177043467,-7.458020770434672
3303100005,PATEMON,21.172983,27.78697893668513,-6.613995936685132
3303110015,PAGER ANDONG,14.585764,13.358316054174685,1.2274479458253147
3303110016,CIPAKU,11.205737,16.22261922996772,-5.01688222996772
3303110017,BINANGUN,21.862702,18.166636899543338,3.6960651004566607
3303110019,SANGKANAYU,17.736786,19.063150222873126,-1.3263642228731278
3303120003,KARANGMALANG,29.222677,25.82375659434898,3.3989204056510225
3303130005,TLAHAB KIDUL,16.911889,19.12481248753917,-2.2129234875391717
3303150003,PEKIRINGAN,73.818898,20.875714161081323,52.943183838918685
3303150009,TUNJUNGMULI,16.245634,38.92206448246285,-22.67643048246285
