CC_4,NAME_4,lat,lon,east,north,value
3303010011,SENON,-7.465876,109.368988,320014.018843,9174416.713616,18.698579
3303020004,CIPAWON,-7.441045,109.457184,329739.347974,9177197.757847,14.446692
3303030001,BANDINGAN,-7.403200,109.435840,327368.546269,9181374.726886,16.223232
3303040002,PENGADEGAN,-7.376160,109.467434,330846.053136,9184377.085386,9.308387
3303050004,PENOLIH,-7.392801,109.428604,326565.761034,9182521.907207,24.551927
3303050008,KALIGONDANG,-7.381248,109.406155,324082.834692,9183790.748323,29.594555
3303050011,PENARUBAN,-7.386622,109.379308,321121.112786,9183185.698319,13.770311
3303050012,KALIKAJAR,-7.376978,109.381204,321326.548793,9184252.999937,41.597338
3303060004,JATISABA,-7.400976,109.388013,322087.831972,9181601.767291,26.831232
3303060007,PENAMBONGAN,-7.401194,109.368606,319945.418322,9181569.916924,20.665427
3303060011,PURBALINGGA LOR,-7.386665,109.359873,318975.431822,9183173.119084,46.239211
3303070007,MEWEK,-7.410623,109.366877,319758.420693,9180526.442584,40.749796
3303070011,KALIMANAH WETAN,-7.414062,109.343927,317226.297144,9180136.691941,27.662517
3303070015,KEDUNGWULUH,-7.403082,109.322736,314882.229568,9181342.249188,28.074116
3303080004,PADAMARA,-7.383071,109.318610,314418.435968,9183553.581758,33.156499
3303080006,BOJANEGARA,-7.381662,109.334042,316121.553760,9183715.839045,15.085232
3303080010,PRIGI,-7.373553,109.319867,314553.214607,9184606.822203,30.835646
3303090002,MUNJUL,-7.362283,109.335835,316311.547695,9185859.792414,25.608195
3303090004,KUTASARI,-7.352858,109.325188,315132.070351,9186897.791443,18.362101
3303100005,PATEMON,-7.351609,109.366481,319690.768282,9187052.719776,21.172983
3303110015,PAGER ANDONG,-7.305716,109.329707,315611.616279,9192113.244857,14.585764
3303110016,CIPAKU,-7.313539,109.328415,315472.159327,9191247.562958,11.205737
3303110017,BINANGUN,-7.280295,109.297990,312098.686637,9194911.594548,21.862702
3303110019,SANGKANAYU,-7.272156,109.321371,314677.391336,9195821.392145,17.736786
3303120003,KARANGMALANG,-7.313382,109.390724,322352.311560,9191289.947399,29.222677
3303130005,TLAHAB KIDUL,-7.255572,109.346479,317443.414900,9197665.624849,16.911889
3303150003,PEKIRINGAN,-7.321053,109.469711,331076.599283,9190472.104855,73.818898
3303150009,TUNJUNGMULI,-7.266124,109.471475,331250.746673,9196547.177057,16.245634
